"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","source","type","score","phase","gene_type","gene_name","level","hgnc_id","havana_gene"
"ENSG00000099953.10",24223.670059404,-6.27811325077205,0.142576012546347,-44.0334467113199,0,0,"HAVANA","gene",NA,NA,"protein_coding","MMP11","2","HGNC:7157","OTTHUMG00000150742.3"
"ENSG00000101605.13",558.633963938908,4.76431659194819,0.121731994582983,39.137751815119,0,0,"HAVANA","gene",NA,NA,"protein_coding","MYOM1","2","HGNC:7613","OTTHUMG00000178209.7"
"ENSG00000119927.14",4815.76790132457,4.430168226318,0.106123359266878,41.7454578984543,0,0,"HAVANA","gene",NA,NA,"protein_coding","GPAM","2","HGNC:24865","OTTHUMG00000019055.3"
"ENSG00000123500.10",8544.6749614221,-7.12812743047634,0.154794263940013,-46.0490411533509,0,0,"HAVANA","gene",NA,NA,"protein_coding","COL10A1","2","HGNC:2185","OTTHUMG00000015426.5"
"ENSG00000117650.13",1467.79894227832,-4.25332170404283,0.111465202737958,-38.1582915525835,1.38573556082969e-318,1.32781181438701e-314,"HAVANA","gene",NA,NA,"protein_coding","NEK2","2","HGNC:7745","OTTHUMG00000037121.3"
"ENSG00000230838.1",303.868886875228,-5.56056812980783,0.151924109169467,-36.6009592566061,2.76132905857208e-293,2.2049212532698e-289,"HAVANA","gene",NA,NA,"lncRNA","LINC01614","2","HGNC:51847","OTTHUMG00000154838.1"
"ENSG00000022267.19",9076.08245348113,5.0308324992044,0.139508662724065,36.0610760720637,9.24769964848766e-285,6.32938985941491e-281,"HAVANA","gene",NA,NA,"protein_coding","FHL1","2","HGNC:3702","OTTHUMG00000022504.13"
"ENSG00000079308.19",15043.0194133589,3.11047788907097,0.0872483524688604,35.6508495696938,2.28592041550548e-278,1.36898058883585e-274,"HAVANA","gene",NA,NA,"protein_coding","TNS1","1","HGNC:11973","OTTHUMG00000133056.10"
"ENSG00000060718.22",12047.5258747071,-6.20002231728325,0.175437856973892,-35.3402761765718,1.41418946281303e-273,7.52820190704135e-270,"HAVANA","gene",NA,NA,"protein_coding","COL11A1","2","HGNC:2186","OTTHUMG00000010872.11"
"ENSG00000090889.12",1538.29249330013,-3.85256135921095,0.112176276313759,-34.3438156962463,1.74203915884982e-258,8.34610961004949e-255,"HAVANA","gene",NA,NA,"protein_coding","KIF4A","2","HGNC:13339","OTTHUMG00000021775.2"
"ENSG00000133800.9",750.883659098458,4.98260500269643,0.145417938558651,34.2640327052003,2.69571311303798e-257,1.17410559314227e-253,"HAVANA","gene",NA,NA,"protein_coding","LYVE1","1","HGNC:14687","OTTHUMG00000165713.2"
"ENSG00000127564.17",921.171746610623,-4.0061957589852,0.118205896282634,-33.8916744847166,8.83582336732447e-252,3.52770247940429e-248,"HAVANA","gene",NA,NA,"protein_coding","PKMYT1","1","HGNC:29650","OTTHUMG00000128975.4"
"ENSG00000203805.11",479.284792235825,-4.99077866086252,0.149830050542085,-33.3095973925517,2.80387444541115e-243,1.03333557445883e-239,"HAVANA","gene",NA,NA,"protein_coding","PLPP4","2","HGNC:23531","OTTHUMG00000019168.4"
"ENSG00000105974.13",8542.12504304422,3.38836456555008,0.102769375879514,32.9705667330564,2.1464007646191e-238,7.34529004520723e-235,"HAVANA","gene",NA,NA,"protein_coding","CAV1","1","HGNC:1527","OTTHUMG00000023413.9"
"ENSG00000134962.7",365.035525525167,4.71050278586245,0.143376326012486,32.8541183671581,9.94756133194648e-237,3.1772510894237e-233,"HAVANA","gene",NA,NA,"protein_coding","KLB","2","HGNC:15527","OTTHUMG00000128577.2"
"ENSG00000095637.22",6572.98003456093,3.66955719698164,0.111751945240819,32.8366292781209,1.76775342304728e-236,5.29331665613721e-233,"HAVANA","gene",NA,NA,"protein_coding","SORBS1","2","HGNC:14565","OTTHUMG00000018812.10"
"ENSG00000170145.5",3673.53745380727,2.44199191372276,0.0746447859039489,32.714835793957,9.60903824789603e-235,2.7080530732747e-231,"HAVANA","gene",NA,NA,"protein_coding","SIK2","1","HGNC:21680","OTTHUMG00000150644.4"
"ENSG00000183856.11",2242.68597455363,-3.70632226607336,0.114120151913443,-32.4773688426608,2.22583544392626e-231,5.92443200658373e-228,"HAVANA","gene",NA,NA,"protein_coding","IQGAP3","2","HGNC:20669","OTTHUMG00000033114.4"
"ENSG00000169418.10",1171.09928796066,3.61440464530611,0.111365163528657,32.4554333759502,4.54020582228046e-231,1.14484874181819e-227,"HAVANA","gene",NA,NA,"protein_coding","NPR1","2","HGNC:7943","OTTHUMG00000037085.4"
"ENSG00000173641.18",973.577234101111,5.15365823434403,0.159801674256415,32.2503394180624,3.4796295319812e-228,8.33545254386097e-225,"HAVANA","gene",NA,NA,"protein_coding","HSPB7","1","HGNC:5249","OTTHUMG00000009531.2"
"ENSG00000163815.6",442.960988906511,3.99670040190665,0.124010686011641,32.228677466807,7.00039875529515e-228,1.59709097317234e-224,"HAVANA","gene",NA,NA,"protein_coding","CLEC3B","2","HGNC:11891","OTTHUMG00000133087.3"
"ENSG00000056998.20",2243.65760792188,4.124310376579,0.128676191467348,32.0518530238406,2.0686317407209e-225,4.50491575899719e-222,"HAVANA","gene",NA,NA,"protein_coding","GYG2","2","HGNC:4700","OTTHUMG00000021079.6"
"ENSG00000181856.15",272.656016748573,4.64186301974333,0.145000824159049,32.0126664566523,7.26699356776164e-225,1.51374635578896e-221,"HAVANA","gene",NA,NA,"protein_coding","SLC2A4","2","HGNC:11009","OTTHUMG00000102181.6"
"ENSG00000120049.20",762.676157532942,5.04356998205261,0.158234920407515,31.8739376179638,6.1347184385272e-223,1.22464316829099e-219,"HAVANA","gene",NA,NA,"protein_coding","KCNIP2","1","HGNC:15522","OTTHUMG00000018937.4"
"ENSG00000131471.7",4772.50481940731,3.99393572929979,0.125448270404505,31.8373120364388,1.97241238777951e-222,3.77993109994064e-219,"HAVANA","gene",NA,NA,"protein_coding","AOC3","1","HGNC:550","OTTHUMG00000180656.3"
"ENSG00000175063.17",2248.16333971714,-4.1885375214716,0.131631851776231,-31.8200911477866,3.41410666782959e-222,6.2911480944506e-219,"HAVANA","gene",NA,NA,"protein_coding","UBE2C","2","HGNC:15937","OTTHUMG00000033038.3"
"ENSG00000029559.7",162.825226782781,-6.96352402582669,0.219882473027404,-31.6693001036005,4.11361510124787e-220,7.29938146299205e-217,"HAVANA","gene",NA,NA,"protein_coding","IBSP","2","HGNC:5341","OTTHUMG00000130600.4"
"ENSG00000158402.20",342.035213583155,-3.41204079957748,0.107991213762071,-31.5955407918182,4.25132128167037e-219,7.27431437874384e-216,"HAVANA","gene",NA,NA,"protein_coding","CDC25C","1","HGNC:1727","OTTHUMG00000129203.6"
"ENSG00000088325.16",4448.14858546029,-3.57265661957297,0.113218202859506,-31.5554966369351,1.50730813030287e-218,2.49017698354519e-215,"HAVANA","gene",NA,NA,"protein_coding","TPX2","2","HGNC:1249","OTTHUMG00000032190.3"
"ENSG00000123612.16",563.911675156112,5.20868334292693,0.165532993157794,31.466133992767,2.52555363991795e-217,4.03330916294896e-214,"HAVANA","gene",NA,NA,"protein_coding","ACVR1C","2","HGNC:18123","OTTHUMG00000131964.4"
"ENSG00000105011.9",1513.54215566877,-3.06122416169685,0.0973837918057903,-31.4346371704416,6.80764993662216e-217,1.05211131762441e-213,"HAVANA","gene",NA,NA,"protein_coding","ASF1B","2","HGNC:20996","OTTHUMG00000150401.3"
"ENSG00000143228.13",1002.46153664997,-3.78184771392976,0.120380172389565,-31.4158688998321,1.2285757385813e-216,1.83940823860718e-213,"HAVANA","gene",NA,NA,"protein_coding","NUF2","1","HGNC:14621","OTTHUMG00000034275.4"
"ENSG00000276043.5",1234.70167658398,-3.35085762014579,0.106783974297956,-31.3797799920425,3.8194859346057e-216,5.54519912505936e-213,"HAVANA","gene",NA,NA,"protein_coding","UHRF1","2","HGNC:12556","OTTHUMG00000180251.5"
"ENSG00000025423.11",294.490478841553,-3.01874997317871,0.0972135679417299,-31.0527639000778,1.04693637245061e-211,1.4752565177679e-208,"HAVANA","gene",NA,NA,"protein_coding","HSD17B6","1","HGNC:23316","OTTHUMG00000170854.5"
"ENSG00000172901.20",147.026532470314,5.05558861439656,0.162868678463478,31.0408892740555,1.51424853416566e-211,2.07278992205363e-208,"HAVANA","gene",NA,NA,"protein_coding","LVRN","1","HGNC:26904","OTTHUMG00000128890.5"
"ENSG00000077152.11",1330.39679635789,-3.21560793609238,0.10371690464285,-31.0037013461339,4.80554495920597e-211,6.39537941654328e-208,"HAVANA","gene",NA,NA,"protein_coding","UBE2T","2","HGNC:25009","OTTHUMG00000041392.5"
"ENSG00000152253.9",417.212073118562,-2.81751045690125,0.0910063728766138,-30.9594852299105,1.89362939656224e-210,2.4519941726837e-207,"HAVANA","gene",NA,NA,"protein_coding","SPC25","2","HGNC:24031","OTTHUMG00000132181.10"
"ENSG00000135437.10",83.2074251855409,4.21338967961817,0.136278839966888,30.917416677761,6.96841687083823e-210,8.78570663899631e-207,"HAVANA","gene",NA,NA,"protein_coding","RDH5","1","HGNC:9940","OTTHUMG00000170126.4"
"ENSG00000123485.12",873.184520301916,-3.53318251934857,0.114478986072028,-30.8631534972328,3.73131630239257e-209,4.58377856532379e-206,"HAVANA","gene",NA,NA,"protein_coding","HJURP","2","HGNC:25444","OTTHUMG00000059125.12"
